Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català
1,Probe List,body part,1,thumb,pulgar,polze
2,Probe List,object,0,whistle,silbato,xiulet
3,Probe List,animal,1,bee,abeja,abella
4,Probe List,food/fruit,0,Plums,Ciruelas,Prunes
5,Probe List,kitchen item,0,Tray,Bandeja,Safata
6,Probe List,tools,0,pliers,alicates,tenalles
7,Probe List,object,0,Sewer,Alcantarilla,Claveguera
8,Probe List,profession/person,1,fireman,bombero,bomber
9,Probe List,food/fruit,0,grapes,uvas,raïm
10,Probe List,animal,0,fox,zorro,guineu
11,Probe List,food/veg,1,celery,apio,api
12,Probe List,tools,0,tools,herramientas,eines
13,Probe List,kitchen item,0,Grill,Parrilla/Asador,Graella
14,Probe List,body part,2,mouth,boca,boca
15,Probe List,clothing,1,dress,vestido,vestit
16,Probe List,food/veg,0,Eggplant,Berenjena,Albergínia
17,Probe List,object,0,Flowerpot,Maceta o tiesto,Test
18,Probe List,food,0,,jamón,Pernil
19,Probe List,body part,1,hair,cabello/pelo,cabell
20,Probe List,household item,0,window,ventana,finestra
21,Probe List,hygiene product/health,0,Nail clippers,Cortaúñas,Tallaungles
22,Probe List,tool,1,broom,Escoba,escombra
23,Probe List,clothing,0,Buckle,Hebilla,Sivella
24,Probe List,object,1,Fountain,fuente,font
25,Probe List,kitchen item,0,Cork,Corcho,Tap de suro / Tap
26,Probe List,food/fruit,0,apple,manzana,poma
27,Probe List,animal,0,donkey,burro,ruc/burro
28,Probe List,games,0,kite,cometa,estel
29,Probe List,clothing,0,hat,sombrero,barret
30,Probe List,household item,0,,lavadora,Rentadora
31,Probe List,animal,0,,polilla,arna
32,Probe List,object,0,candle ,vela,espelma
33,Probe List,food/veg,0,olive,aceituna,oliva
34,Probe List,instrument,1,clarinet,clarinete,clarinet
35,Probe List,animal,0,owl,búho,mussol
36,Probe List,body parts,0,eye,ojo,ull
37,Probe List,kitchen item,0,knife,cuchillo,ganivet
38,Probe List,animal,0,duck,pato,ànec
39,Probe List,clothing,0,vest,chaleco,armilla
40,Probe List,furniture,0,lamp,lámpara,làmpara
41,Probe List,object,2,paint,pintura ,pintura
42,Probe List,kitchen item,0,fork ,tenedor,forquilla
43,Probe List,object,0,key,llave,clau
44,Probe List,games,0,chess,ajedrez,escacs
45,Probe List,animal,0,lizard,lagartija,sargantana/llangardaix
46,Probe List,accessory,0,,abanico,ventall
47,Probe List,kitchen item,0,Corkscrew,Sacacorchos,llevataps
48,Probe List,food/nuts,0,pistachios,pistachos/pistaches,festucs
49,Probe List,animal,0,monkey,mono,mico
50,Probe List,object,0,ceiling ,techo,sostre
51,Probe List,kitchen item,0,napkin,servilleta,tovalló
52,Probe List,tools,0,axe,hacha,destral
53,Probe List,household item,1,blinds,persianas,persianes
54,Probe List,games,0,swing ,columpio,gronxador
55,Probe List,clothing,0,diaper,pañal,bolquer
56,Probe List,animal,0,beehive,colmena,rusc
57,Probe List,accessory,0,glasses,gafas/espejuelos/lentes/anteojos,ulleres
58,Probe List,electronics,1,phone,teléfono,telèfon
59,Probe List,food/nuts,0,acorn,bellota,gla
60,Probe List,games,0,marbles,canicas,bales
61,Probe List,food,0,egg,huevos,ous
62,Probe List,household item,0,blanket,cobija,recera
63,Probe List,food/veg,0,carrot,zanahoria,pastanaga
64,Probe List,animal,0,worm,gusano /lombriz,cuc
65,Probe List,body parts,0,shoulder,hombro,espatlla
66,Probe List,food/snack,0,popcorn,palomitas,crispetes
67,Probe List,office supply,0,chalk,tiza,guix
68,Probe List,profession/person,2,doctor,doctor/médico,doctor/metge
69,Probe List,food/veg,0,pickle,pepinillo,cogombret
70,Probe List,object,1,Cross,cruz,creu
71,Probe List,gemstones,0,emerald,esmeralda,maragda
72,Probe List,food/veg,0,avocado,aguacate,alvocat
73,Probe List,office supply,2,shredder,trituradora,trituradora
74,Probe List,food/fruit,0,strawberry,fresa,maduixa
75,Probe List,animal,0,dog ,perro,gos
76,Probe List,tools,0,Screw,Tornillo,Cargol
77,Probe List,clothing,0,sock,calcetín,mitjó
78,Probe List,food/veg,0,lettuce,lechuga,enciam
79,Probe List,kitchen item,0,can,lata,llauna
80,Probe List,place,1,House,casa,casa
81,Probe List,furniture,0,table,mesa,taula
82,Probe List,kitchen item,0,pan,sartén,paella
83,Probe List,animal,0,squirrel,ardilla,esquirol
84,Probe List,food/fruit,0,peach,melocotón,préssec
85,Probe List,kitchen item,0,glass,vaso,vas/got
86,Probe List,plant,2,thorn,espina,espina
87,Probe List,instrument,2,flute ,flauta,flauta
88,Probe List,animal,0,,sapo,gripau
